WY,Watershed,Area,H2O,DOC ,Cl,NO3,SO4,NH4,Si,Ca,K,Mg,Na,H,Al,ANC,HCO3,Discharge L/s,EQPH
1989,EB,10.9,106,2218,616,182.8,1014,8,495,768,86,289,749,34,63,55,45,10.51,5.76
1990,EB,10.9,93,1379,483,110.6,928,1.8,448,588,47,211,564,25,46,32.3,27,10.19,5.68
1991,EB,10.9,106,1720,504,144.3,996,1.9,564,714,57,264,659,32,66,20.9,29,13.87,5.65
1992,EB,10.9,89,1224,507,41.4,833,1.3,497,602,42,227,579,21,45,30.3,36,5.84,5.77
1993,EB,10.9,84,1173,462,25.7,755,0.4,450,532,40,202,546,18,41,28.4,32,10.2,5.81
1994,EB,10.9,103,1551,667,15.8,904,0.1,517,628,51,226,700,42,71,13.5,31,12.63,5.52
1995,EB,10.9,66,1030,421,13.3,587,1.2,380,420,31,150,493,22,34,5,22,6.21,5.57
1996,EB,10.9,156,2632,1311,13.5,1212,5.7,806,925,78,347,1253,75,70,10.7,43,10.29,5.4
1997,EB,10.9,100,1632,609,26,829,0.3,534,552,51,204,673,52,69,22.1,48,8.04,5.61
1998,EB,10.9,105,2123,533,7.6,864,1.3,532,484,50,185,636,32,54,20.7,36,11.69,5.67
1999,EB,10.9,96,1476,588,35.6,799,6.8,462,529,50,211,658,26,44,15.1,30,6.31,5.72
2000,EB,10.9,114,2073,883,15.3,894,7.2,603,573,54,229,884,56,66,7.6,30,9.59,5.37
2001,EB,10.9,54,1037,344,4.4,439,0.8,304,282,22,111,411,14,28,24.4,21,5.13,5.8
2002,EB,10.9,76,1492,544,7.5,615,2.8,430,385,32,156,606,23,44,24.4,22,15.14,5.63
2003,EB,10.9,90,1828,502,6.4,711,0.5,466,398,34,169,641,29,56,19.8,22,13.28,5.55
2004,EB,10.9,118,515,767,2.9,911,,,599,48,228,891,38,50,31.7,37,19.15,5.58
2005,EB,10.9,119,2098,595,6.3,916,,,540,53,215,791,38,18,37.1,45,24.35,5.62
2006,EB,10.9,144,2331,682,9.4,1033,36.5,,681,52,275,919,34,47,60.6,56,4.78,5.75
2007,EB,10.9,108,1871,420,19.8,728,,,426,53,187,578,27,67,58.9,48,29.56,5.7
2008,EB,10.9,130,2559,507,6.6,825,11.7,26,505,45,202,678,32,71,65.9,63,35.17,5.7
2009,EB,10.9,155,2155,730,1.8,1006,,,644,45,280,928,28,70,99.2,101,5.21,6.04
2010,EB,10.9,109,1501,479,0.1,679,,,454,37,193,656,11,44,107.9,95,23.61,5.99
2011,EB,10.9,149,1940,719,0.6,794,,,563,42,242,854,22,69,70.1,81,8.24,6.07
2012,EB,10.9,130,1729,781,11.3,712,,,575,48,233,829,12,50,127.2,109,19.72,6.13
2013,EB,10.9,146,1917,812,7.5,828,,,637,45,255,987,10,51,213.9,170,3.79,6.16
2014,EB,10.9,91,1403,424,5.8,454,,,220,30,93,306,5,2,102,105,11.21,6.13
2015,EB,10.9,111,1463,466,1.5,562,,,370,43,155,529,13,38,71.9,57,13.42,5.96
2016,EB,10.9,107,1422,618,7.4,466,,,388,37,143,541,10,34,87.4,63,4.62,5.92
2017,EB,10.9,122,1862,822,3.8,538,6.1,,412,49,173,739,13,42,104.7,74,18.03,5.88
2018,EB,10.9,123,1895,801,1.9,569,13.3,,388,56,162,737,14,55,83.8,62,11.08,5.87
1989,WB,10.26,111,2419,697,216,1177,7.9,665,904,117,354,857,25,55,109.5,84,12.12,6.04
1990,WB,10.26,94,1432,610,185,1151,4.6,673,834,76,318,759,25,49,68.5,52,8.45,5.96
1991,WB,10.26,114,1563,603,502,1549,8.6,786,1162,94,455,846,51,105,27.1,35,12.15,5.62
1992,WB,10.26,90,1097,559,373,1356,10.9,667,1019,76,395,712,45,81,10,25,5.73,5.49
1993,WB,10.26,97,1229,529,414,1416,26.7,580,984,98,369,651,68,135,5.3,20,10.65,5.37
1994,WB,10.26,115,1644,823,409,2075,0.2,768,1322,110,451,927,111,226,2.7,25,10.95,5.16
1995,WB,10.26,65,852,462,395,1193,8.5,479,815,65,283,573,71,150,2,14,7.84,5.11
1996,WB,10.26,132,1834,1267,443,2446,10.4,822,1517,120,523,1252,174,147,0.5,30,10.31,4.97
1997,WB,10.26,89,1186,621,354,1562,10,620,864,75,302,684,99,203,0.3,19,6.82,5.08
1998,WB,10.26,115,1873,708,444,2074,4.7,784,1065,108,400,864,134,189,0.1,22,7.27,5.02
1999,WB,10.26,99,1421,676,717,1737,27.4,632,1017,113,399,805,122,226,1.1,18,7.21,4.96
2000,WB,10.26,103,1644,862,450,1787,12,752,933,99,349,901,182,231,0.1,18,9.3,4.79
2001,WB,10.26,51,925,369,205,907,2,390,490,45,187,467,64,108,1.9,10,4.69,5.07
2002,WB,10.26,72,1206,590,238,1355,6.7,544,686,58,265,658,90,181,2.1,13,14.33,5
2003,WB,10.26,87,1650,593,132,1551,23.4,584,744,65,295,735,101,183,0.6,14,12.44,4.98
2004,WB,10.26,115,483,854,142,1991,35.2,,979,91,365,995,145,174,0,22,17.04,4.91
2005,WB,10.26,114,1525,646,313,1930,,,917,88,358,893,157,85,0.6,19,14.06,4.95
2006,WB,10.26,159,2469,822,487,2427,25.3,,1280,111,494,1188,224,223,0.4,20,9.65,4.93
2007,WB,10.26,114,1832,493,559,1699,28.2,,851,103,348,723,158,268,0.7,17,41.66,4.89
2008,WB,10.26,131,2336,598,483,2021,9.7,40,1009,95,381,897,184,285,0.8,18,25.13,4.87
2009,WB,10.26,158,1884,811,448,2349,,,1182,92,469,1144,166,290,0,20,6.42,5.09
2010,WB,10.26,101,1317,512,321,1485,,,788,75,313,755,98,177,4.5,16,21.33,5.08
2011,WB,10.26,136,1579,747,394,2030,,,986,84,404,988,148,302,0.2,14,6.32,5.21
2012,WB,10.26,111,1314,739,473,1631,,,883,85,351,868,119,233,0.9,14,16.91,5.01
2013,WB,10.26,141,1743,884,434,2081,,,1073,90,425,1166,147,255,0.3,22,3.74,4.98
2014,WB,10.26,89,1353,462,495,1305,,,465,56,156,398,69,10,1.4,19,10.59,4.99
2015,WB,10.26,108,1134,518,511,1363,,,663,72,272,694,126,228,0.1,17,7.4,5.06
2016,WB,10.26,106,1307,651,315,1446,,,711,62,254,528,106,189,0,20,4.32,4.83
2017,WB,10.26,120,1592,837,93,1598,10.3,,708,63,257,865,106,202,0,23,16.04,4.89
2018,WB,10.26,120,2014,892,26,1347,18.2,,634,92,238,884,67,168,20.7,35,11.19,5.02